"MLS #","Cat","Status","Address","Zip Code","County","Structure Type","Total Finished SQFT","Beds","Bathrooms Full","Bathrooms Half","On Market Date","Close Date","List Price","Close Price","DOM","CDOM","Sale Type","Close Sale Type","Buyer Financing","Lot Size Acres","Year Built","New Construction YN","Year Major Reno/Remodel","Property Condition","Subdivision/Neighborhood","Legal Subdivision"
"VAST2020690","RES","CLS","600 Cartwell Dr","22554","Stafford, VA","Detached","2,200","4","2","1","","06/13/22","$467,990.00","$502,825","0","0","Standard","Standard Sale","FHA","0.20","2022","Yes","","Excellent","KENDALL HILLS",""
"VAST2020688","RES","CLS","204 Brafferton Blvd","22554","Stafford, VA","Detached","2,738","5","3","1","","05/24/22","$663,990.00","$828,584","0","0","Standard","Standard Sale","VA","0.24","2022","Yes","","Excellent","HAMPTON RUN",""
"VAST2018572","RES","CLS","182 Shaded Valley Ct","22554","Stafford, VA","End of Row/Townhouse","2,120","3","3","1","","12/28/22","$474,990.00","$544,000","0","0","Standard","Standard Sale","Conventional","0.08","2022","Yes","","Excellent","WHITSON WOODS",""
"VAST2018372","RES","CLS","514 Holly Corner Rd","22406","Stafford, VA","Detached","0","3","3","1","","11/28/22","$902,310.00","$902,310","0","0","Standard","Standard Sale","VA","3.51","2022","Yes","","Excellent","NONE AVAILABLE",""
"VAST2018312","RES","CLS","108 Hibiscus Dr","22554","Stafford, VA","Detached","2,811","3","2","2","","03/07/22","$714,522.00","$714,522","0","0","Standard","Standard Sale","Conventional","0.15","2022","Yes","","Excellent","EMBREY MILL","EMBREY MILL"
"VAST2017694","RES","CLS","328 Ireland Dr.","22406","Stafford, VA","Detached","3,000","4","4","1","","12/09/22","$903,327.00","$903,327","0","0","Standard","Standard Sale","Conventional","0.00","","Yes","","Excellent","SULLIVAN ESTATES","SULLIVAN ESTATES"
"VAST2018038","RES","CLS","113 Dribbler Way","22554","Stafford, VA","Detached","0","4","3","","","09/26/22","$828,760.00","$828,760","0","0","Standard","Standard Sale","VA","0.31","","Yes","","Excellent","HAMPTON RUN",""
"VAST2017958","RES","CLS","105 Elmsley Ln","22554","Stafford, VA","Detached","3,444","5","4","1","","02/14/22","$775,910.00","$775,910","0","0","Standard","Standard Sale","Conventional","0.29","2022","Yes","","Excellent","NONE AVAILABLE",""
"VAST2017872","RES","CLS","55 Monroe Farm Rd","22406","Stafford, VA","Detached","3,846","4","3","","","02/24/22","$721,750.00","$721,750","0","0","Standard","Standard Sale","Conventional","3.00","2022","Yes","","Excellent","NONE AVAILABLE",""
"VAST2017832","RES","CLS","551 Hope Rd","22554","Stafford, VA","Detached","2,012","0","0","","","05/23/22","$489,900.00","$520,975","0","0","Standard","Standard Sale","Conventional","1.69","2022","Yes","","Excellent","NONE AVAILABLE",""
"VAST2017824","RES","CLS","176 Shaded Valley Ct","22554","Stafford, VA","Interior Row/Townhouse","2,349","4","3","1","","12/20/22","$532,000.00","$532,000","0","0","Standard","Standard Sale","Conventional","0.05","2022","Yes","","Excellent","WHITSON WOODS",""
"VAST2017280","RES","CLS","131 Zinnia Ct","22554","Stafford, VA","Detached","0","4","3","1","","11/22/22","$672,990.00","$768,928","0","0","Standard","Standard Sale","VA","0.16","2022","Yes","","Excellent","EMBREY MILL","EMBREY MILL"
