"MLS #","Cat","Status","Address","Zip Code","County","Structure Type","Total Finished SQFT","Beds","Bathrooms Full","Bathrooms Half","On Market Date","Close Date","List Price","Close Price","DOM","CDOM","Sale Type","Close Sale Type","Buyer Financing","Lot Size Acres","Year Built","New Construction YN","Year Major Reno/Remodel","Property Condition","Subdivision/Neighborhood","Legal Subdivision"
"VAST2015844","RES","CLS","213 Huff Dr","22554","Stafford, VA","End of Row/Townhouse","2,332","4","3","1","","10/07/21","$388,990.00","$441,408","0","0","Standard","Standard Sale","Conventional","0.08","2021","Yes","","Excellent","NONE AVAILABLE",""
"VAST2014956","RES","CLS","245 Storck Rd","22406","Stafford, VA","Detached","2,681","4","3","1","","11/12/21","$494,900.00","$745,060","0","0","Standard","Standard Sale","VA","3.02","2021","Yes","","Excellent","NONE AVAILABLE",""
"VAST2009538","RES","CLS","104 Bentley Ct","22554","Stafford, VA","Interior Row/Townhouse","1,814","4","3","1","","08/25/21","$350,000.00","$330,000","0","0","Standard","Standard Sale","FHA","0.04","1993","No","","","HAMPTON OAKS","HAMPTON OAKS"
"VAST2008160","RES","CLS","221 Huff Drive","22554","Stafford, VA","Interior Row/Townhouse","0","3","2","1","","12/15/21","$396,990.00","$430,000","0","0","Standard","Standard Sale","VA","0.00","2021","Yes","","Excellent","NONE AVAILABLE",""
"VAST2007824","RES","CLS","1038 Aspen Rd","22554","Stafford, VA","Detached","2,488","4","3","1","","01/29/21","$430,990.00","$471,058","0","0","Standard","Standard Sale","VA","0.14","2021","Yes","","Excellent","EMBREY MILL","EMBREY MILL"
"VAST2007492","RES","CLS","308 Petunia Way","22554","Stafford, VA","Detached","2,318","4","3","1","","11/05/21","$502,300.00","$502,300","0","0","Standard","Standard Sale","VA","0.15","2021","Yes","","Excellent","EMBREY MILL","EMBREY MILL"
"VAST2005412","RES","CLS","113 Cates Ln","22554","Stafford, VA","Interior Row/Townhouse","1,980","3","2","2","","10/28/21","$394,476.00","$394,476","0","0","Standard","Standard Sale","Conventional","0.05","2021","Yes","","Excellent","NONE AVAILABLE",""
"VAST2007166","RES","CLS","154 Boxelder Dr","22554","Stafford, VA","Detached","2,906","4","3","","","08/12/21","$608,250.00","$608,250","0","0","Standard","Standard Sale","VA","0.14","2021","Yes","","Excellent","NONE AVAILABLE","EMBREY MILL"
"VAST2007016","RES","CLS","3007 Voyage Dr","22554","Stafford, VA","Detached","1,702","3","2","","","06/11/21","$450,000.00","$450,000","0","0","Standard","Standard Sale","Conventional","0.35","1990","No","","","AQUIA HARBOUR","AQUIA HARBOUR"
"VAST2006974","RES","CLS","229 Coastal Ave","22554","Stafford, VA","Detached","2,373","4","2","1","","07/06/21","$483,194.00","$483,194","0","0","Standard","Standard Sale","FHA","0.13","2021","Yes","","Excellent","EMBREY MILL","EMBREY MILL"
"VAST2006902","RES","CLS","100 Hibiscus","22554","Stafford, VA","Detached","0","5","3","","","12/30/21","$740,785.00","$740,785","0","0","Standard","Standard Sale","VA","0.00","2021","Yes","","Excellent","EMBREY MILL",""
"VAST2006938","RES","CLS","96 Locksley Ln","22406","Stafford, VA","Detached","2,913","1","1","1","","07/27/21","$699,505.00","$699,505","0","0","Standard","Standard Sale","VA","3.01","2020","Yes","","Excellent","NONE AVAILABLE",""
"VAST2006886","RES","CLS","217 Yates St","22554","Stafford, VA","Detached","3,172","6","3","","","04/09/21","$567,130.00","$567,130","0","0","Standard","Standard Sale","FHA","0.25","2021","Yes","","Excellent","SHELTON KNOLLS",""
"VAST2006814","RES","CLS","5937 Avery Point Dr","22406","Stafford, VA","Detached","2,986","3","4","","","03/19/21","$613,805.00","$613,805","0","0","Standard","Standard Sale","Conventional","0.20","2021","Yes","","Excellent","CELEBRATE VIRGINIA NORTH","CELEBRATE VIRGINIA NORTH"
"VAST2004644","RES","CLS","85 Holly Berry Rd","22406","Stafford, VA","Detached","0","4","3","1","","10/04/21","$669,450.00","$669,450","0","0","Standard","Standard Sale","VA","3.00","2021","Yes","","Excellent","HOLLY CORNER ESTATES","HOLLY CORNER ESTATES"
"VAST2006774","RES","CLS","512 Babs Run","22406","Stafford, VA","Detached","1,874","4","3","","","07/01/21","$579,980.00","$579,980","0","0","Standard","Standard Sale","VA","1.50","2021","Yes","","Excellent","NONE AVAILABLE",""
"VAST2006762","RES","CLS","301 Marianne Pl","22554","Stafford, VA","Detached","3,184","5","4","1","","04/29/21","$578,055.00","$578,055","0","0","Standard","Standard Sale","VA","0.24","2021","Yes","","Excellent","SHELTON KNOLLS",""
"VAST2006746","RES","CLS","250 Stephanies Way","22406","Stafford, VA","Detached","2,080","3","2","1","","04/28/21","$460,600.00","$460,600","0","0","Standard","Standard Sale","VA","1.07","2021","Yes","","Excellent","WOODLANDS AT BEREA","WOODLANDS AT BEREA"
"VAST2006544","RES","CLS","120 Castlebar Dr","22406","Stafford, VA","Detached","4,400","5","4","1","","12/22/21","$760,857.00","$767,490","0","0","Standard","Standard Sale","Conventional","3.00","2021","Yes","","Excellent","SULLIVAN ESTATES","SULLIVAN ESTATES"
"VAST232788","RES","CLS","127 Black Hawk","22554","Stafford, VA","Detached","0","3","2","1","","05/19/21","$479,900.00","$644,142","0","0","Standard","Standard Sale","VA","1.52","0","No","","","NONE AVAILABLE",""
"VAST2006634","RES","CLS","168 Hibiscus Dr","22554","Stafford, VA","Detached","3,341","4","2","1","","12/30/21","$553,628.00","$553,628","0","0","Standard","Standard Sale","Conventional","0.19","","Yes","","Excellent","EMBREY MILL","EMBREY MILL"
"VAST2006598","RES","CLS","113 Hibiscus Dr","22554","Stafford, VA","Detached","3,000","0","0","1","","12/30/21","$725,033.00","$725,033","0","0","Standard","Standard Sale","VA","0.00","2021","Yes","","Excellent","EMBREY MILL",""
"VAST2006556","RES","CLS","400 Smokebush Drive","22554","Stafford, VA","Detached","2,734","3","2","1","","11/05/21","$671,665.00","$671,665","0","0","Standard","Standard Sale","Conventional","0.14","","Yes","","Excellent","EMBREY MILL","EMBREY MILL"
"VAST2006524","RES","CLS","112 Cates","22554","Stafford, VA","Interior Row/Townhouse","2,150","3","2","2","","12/30/21","$406,937.00","$406,937","0","0","Standard","Standard Sale","VA","0.00","2021","Yes","","Excellent","NONE AVAILABLE",""
"VAST2006476","RES","CLS","204 Determination Dr","22554","Stafford, VA","Detached","0","4","3","1","","10/27/21","$538,545.00","$538,545","0","0","Standard","Standard Sale","Conventional","0.20","","Yes","","Excellent","NONE AVAILABLE",""
"VAST2006510","RES","CLS","304 Still Water Ln","22406","Stafford, VA","Detached","2,796","4","2","1","","12/10/21","$649,900.00","$649,900","0","0","Standard","Standard Sale","Conventional","3.00","2021","Yes","","Excellent","STILLWATER ESTATES","STILLWATER"
"VAST2006480","RES","CLS","144 Hibiscus Dr","22554","Stafford, VA","Detached","0","3","3","","","12/29/21","$552,900.00","$568,505","0","0","Standard","Standard Sale","Conventional","0.15","2021","Yes","","Excellent","EMBREY MILL","EMBREY MILL"
"VAST2006454","RES","CLS","201 Witch Hazel Ln","22554","Stafford, VA","Detached","2,494","4","3","1","","01/21/21","$475,130.00","$475,130","0","0","Standard","Standard Sale","FHA","0.17","2020","Yes","","Excellent","EMBREY MILL","EMBREY MILL"
"VAST2006396","RES","CLS","100 Petunia Way","22554","Stafford, VA","Twin/Semi-Detached","1","4","2","","","12/20/21","$571,000.00","$571,000","0","0","Standard","Standard Sale","Conventional","0.00","2021","Yes","","Excellent","EMBREY MILL",""
