"MLS #","Cat","Status","Address","Zip Code","County","Structure Type","Total Finished SQFT","Beds","Bathrooms Full","Bathrooms Half","On Market Date","Close Date","List Price","Close Price","DOM","CDOM","Sale Type","Close Sale Type","Buyer Financing","Lot Size Acres","Year Built","New Construction YN","Year Major Reno/Remodel","Property Condition","Subdivision/Neighborhood","Legal Subdivision"
"VAST2027468","RES","CLS","208 Lake Side View Ct","22406","Stafford, VA","Detached","5,100","5","3","1","","12/15/23","$724,990.00","$859,035","0","0","Standard","Standard Sale","Conventional","1.56","2023","Yes","","Excellent","NONE AVAILABLE",""
"VAST2026688","RES","CLS","313 Elmsley Ln","22554","Stafford, VA","Detached","0","5","3","1","","03/14/23","$722,120.00","$732,710","0","0","Standard","Standard Sale","Conventional","0.19","2023","Yes","","Excellent","NONE AVAILABLE",""
"VAST2026190","RES","CLS","451 Vandegrift Rd","22554","Stafford, VA","Detached","2,423","4","3","1","","12/19/23","$609,685.00","$609,685","0","0","Standard","Standard Sale","VA","0.15","2023","Yes","","Excellent","NONE AVAILABLE",""
"VAST2026164","RES","CLS","539 Old Potomac Church Rd","22554","Stafford, VA","Detached","2,219","5","3","","","12/19/23","$538,250.00","$533,755","0","0","Standard","Standard Sale","Conventional","0.15","2023","Yes","","Excellent","POTOMAC CHURCH FARMS",""
"VAST2026148","RES","CLS","736 Kellogg Mill Rd","22406","Stafford, VA","Detached","0","4","4","1","","12/13/23","$970,200.00","$970,200","0","0","Standard","Standard Sale","VA","3.02","2023","Yes","","Excellent","NONE AVAILABLE",""
"VAST2026118","RES","CLS","1032 Joshua Landing Court","22556","Stafford, VA","Detached","4,000","5","4","1","","12/21/23","$769,900.00","$950,122","0","0","Standard","Standard Sale","Conventional","3.21","2023","Yes","","Excellent","NONE AVAILABLE",""
"VAST2026136","RES","CLS","514 Azolla","22554","Stafford, VA","Detached","3,580","5","4","","","12/22/23","$747,201.00","$747,201","0","0","Standard","Standard Sale","VA","0.20","2023","Yes","","Excellent","EMBREY MILL",""
"VAST2026128","RES","CLS","368 Greenstead Dr","22554","Stafford, VA","Detached","0","5","4","1","","12/27/23","$603,000.00","$603,000","0","0","Standard","Standard Sale","Cash","0.15","","Yes","","Excellent","NONE AVAILABLE",""
"VAST2026116","RES","CLS","309 Elmsley Ln","22554","Stafford, VA","Detached","4,322","6","5","","","01/19/23","$762,680.00","$762,680","0","0","Standard","Standard Sale","Conventional","0.20","2023","Yes","","Excellent","NONE AVAILABLE",""
"VAST2026068","RES","CLS","1602 Nebula Ln","22554","Stafford, VA","Detached","0","4","2","1","","07/10/23","$520,000.00","$520,000","0","0","Standard","Standard Sale","VA","0.00","","Yes","","Excellent","POTOMAC CHURCH FARMS",""
"VAST2026016","RES","CLS","244 Olde Concord","22554","Stafford, VA","Detached","2,220","4","2","","","12/19/23","$609,550.00","$609,550","1","1","Standard","Standard Sale","VA","1.85","2023","Yes","","Excellent","NONE AVAILABLE",""
"VAST2026002","RES","CLS","205 Castlebar Drive","22406","Stafford, VA","Detached","5,678","5","4","1","","08/25/23","$944,100.00","$944,100","0","0","Standard","Standard Sale","VA","5.94","2023","Yes","","Excellent","NONE AVAILABLE",""
"VAST2025944","RES","CLS","545 Old Potomac Church","22554","Stafford, VA","Detached","1,903","4","2","1","","12/12/23","$494,770.00","$494,770","0","0","Standard","Standard Sale","FHA","0.00","2023","Yes","","Excellent","POTOMAC CHURCH FARMS",""
"VAST2025940","RES","CLS","131 Lake Bluff Ct","22406","Stafford, VA","Detached","0","5","3","1","","11/17/23","$856,000.00","$856,000","0","0","Standard","Standard Sale","FHA","1.50","2023","Yes","","Excellent","NONE AVAILABLE",""
"VAST2025882","RES","CLS","805 Bellows Ave","22405","Stafford, VA","Interior Row/Townhouse","1,508","3","2","0","12/14/2023","12/29/23","$270,000.00","$270,000","8","8","Standard","Standard Sale","FHA","0.07","1973","No","","Excellent","OLDE FORGE","OLDE FORGE"
"VAST2025878","RES","CLS","7 Knoll Ct","22554","Stafford, VA","Detached","2,928","4","2","1","12/12/2023","12/21/23","$500,000.00","$460,000","2","2","Standard","Standard Sale","Cash","3.12","1984","No","","","NONE AVAILABLE",""
"VAST2025872","RES","CLS","1107 James Madison Cir","22405","Stafford, VA","Interior Row/Townhouse","1,360","4","2","1","","05/25/23","$200,000.00","$200,000","0","0","Standard","Standard Sale","Cash","0.05","1974","No","2006","","JEFFERSON PLACE","JEFFERSON PLACE"
"VAST2025874","RES","CLS","204 Kelley Rd","22405","Stafford, VA","Detached","1,800","4","3","","12/12/2023","12/29/23","$455,000.00","$449,900","7","139","Standard","Standard Sale","VA","0.18","2023","Yes","","Excellent","NONE AVAILABLE",""
"VAST2025756","RES","CLS","57 Cornwallis Dr","22405","Stafford, VA","Detached","1,988","3","2","1","12/08/2023","12/19/23","$338,200.00","$375,000","5","5","Standard","Standard Sale","Cash","0.32","1989","No","","","BLYTHEDALE","BLYTHEDALE"
"VAST2025822","RES","CLS","308 Elmsley Ln","22554","Stafford, VA","Detached","4,195","4","3","1","","10/19/23","$663,990.00","$724,545","0","0","Standard","Standard Sale","Conventional","0.21","2023","Yes","","Excellent","NONE AVAILABLE",""
"VAST2025786","RES","CLS","1 Bergen Way","22406","Stafford, VA","Detached","3,791","5","4","","12/16/2023","12/29/23","$580,000.00","$580,000","15","147","Standard","Standard Sale","Conventional","0.30","2005","No","","Excellent","ENGLAND RUN NORTH","ENGLAND RUN NORTH"
"VAST2025698","RES","CLS","1117 Amherst Ave","22405","Stafford, VA","Detached","1,150","3","2","","12/03/2023","12/28/23","$372,500.00","$372,500","2","2","Standard","Standard Sale","Conventional","0.34","1986","No","","","LEELAND HEIGHTS","LEELAND HEIGHTS"
"VAST2025798","RES","CLS","407 Smith St","22405","Stafford, VA","Detached","960","3","1","","12/05/2023","12/20/23","$335,000.00","$350,000","5","5","Standard","Standard Sale","Conventional","0.89","1972","No","2023","Excellent","POTOMAC","POTOMAC"
"VAST2025734","RES","CLS","46 Ripley Rd","22556","Stafford, VA","Detached","3,248","4","2","1","12/03/2023","12/15/23","$614,900.00","$610,000","5","5","Standard","Standard Sale","Cash","0.18","2002","No","2023","Excellent","APPLE GROVE","APPLE GROVE"
"VAST2025744","RES","CLS","95 Pewter Ln","22554","Stafford, VA","Detached","1,562","5","3","","12/09/2023","12/27/23","$509,900.00","$509,900","10","10","Standard","Standard Sale","VA","0.30","1978","No","","","BRAFFERTON","BRAFFERTON"
"VAST2025722","RES","CLS","100 Grosvenor Ln #103","22556","Stafford, VA","Other","837","2","1","","12/18/2023","12/28/23","$228,000.00","$210,000","25","25","Standard","Standard Sale","Cash","","1994","No","","","SUNNINGDALE MEADOWS","SUNNINGDALE MEADOWS"
"VAST2024508","RES","CLS","52 Rocky Ln","22406","Stafford, VA","Detached","1,120","3","2","","12/08/2023","12/29/23","$339,900.00","$345,000","5","5","Standard","Standard Sale","Conventional","1.20","1968","No","","Good","NONE AVAILABLE",""
"VAST2025664","RES","CLS","358 Bridgewater Cir","22406","Stafford, VA","Detached","2,566","3","3","","11/29/2023","12/19/23","$465,000.00","$465,000","11","11","Standard","Standard Sale","Conventional","0.17","2003","No","","","FALLS RUN",""
"VAST2025668","RES","CLS","6 Shady Ln","22554","Stafford, VA","Detached","2,176","3","3","","11/25/2023","12/27/23","$430,000.00","$445,000","7","7","Standard","Standard Sale","VA","0.79","2002","No","","Excellent","STAFFORD COUNTY","HARRIS"
"VAST2025640","RES","CLS","145 Forest Lane Rd","22405","Stafford, VA","Detached","5,289","5","3","1","12/07/2023","12/21/23","$1,125,000.00","$1,042,500","8","8","Standard","Standard Sale","Conventional","10.80","2016","No","","Excellent","NONE AVAILABLE","LITTLE FALLS (PART)"
