"MLS #","Cat","Status","Address","Zip Code","County","Structure Type","Total Finished SQFT","Beds","Bathrooms Full","Bathrooms Half","On Market Date","Close Date","List Price","Close Price","DOM","CDOM","Sale Type","Close Sale Type","Buyer Financing","Lot Size Acres","Year Built","New Construction YN","Year Major Reno/Remodel","Property Condition","Subdivision/Neighborhood","Legal Subdivision"
"VAST2029386","RES","CLS","152 Dolittle Farm Rd","22556","Stafford, VA","Detached","4,464","5","4","1","","04/10/24","$1,015,519.00","$1,015,519","0","0","Standard","Standard Sale","Conventional","1.85","","Yes","","Excellent","NONE AVAILABLE",""
"VAST2026356","RES","CLS","201 Bennington Way","22556","Stafford, VA","Detached","5,123","5","3","1","","04/01/24","$925,000.00","$925,000","1","1","Standard","Standard Sale","Conventional","1.53","2019","No","","","SARATOGA WOODS",""
"VAST2029174","RES","CLS","2310 Harpoon Dr","22554","Stafford, VA","Detached","1,560","4","3","0","","04/30/24","$520,000.00","$520,000","0","0","Standard","Standard Sale","VA","0.31","1975","No","","Very Good","AQUIA HARBOUR","AQUIA HARBOUR"
"VAST2028726","RES","CLS","190 Telegraph Rd","22554","Stafford, VA","Detached","920","3","1","","04/16/2024","04/26/24","$55,000.00","$55,000","1","1","Standard","Standard Sale","Cash","0.26","1974","No","","","NONE AVAILABLE",""
"VAST2028660","RES","CLS","6 Tenbrooke Ct","22556","Stafford, VA","Detached","1,920","5","2","2","","04/12/24","$390,000.00","$390,000","1","1","Standard","Standard Sale","Conventional","0.24","1995","No","","","DEVON GREEN","DEVON GREEN"
"VAST2028576","RES","CLS","130 Short Branch Rd","22556","Stafford, VA","Interior Row/Townhouse","1,598","3","2","1","04/15/2024","04/30/24","$415,000.00","$415,000","0","0","Standard","Standard Sale","Conventional","0.06","2011","No","","Good","WOODSTREAM","WOODSTREAM"
"VAST2028538","RES","CLS","100 Vista Woods Rd","22556","Stafford, VA","Detached","1,792","4","2","","","03/14/24","$334,900.00","$334,900","1","1","Standard","Standard Sale","Cash","0.41","1985","No","","","VISTA WOODS","VISTA WOODS"
"VAST2028454","RES","CLS","243 Colebrook Rd","22405","Stafford, VA","Detached","964","2","1","","04/16/2024","04/30/24","$275,000.00","$285,000","7","7","Standard","Standard Sale","Cash","3.63","1946","No","","Below Average, Major Rehab Needed","NONE AVAILABLE",""
"VAST2028356","RES","CLS","903 Highpointe Blvd","22554","Stafford, VA","Interior Row/Townhouse","1,120","3","1","1","04/08/2024","04/25/24","$299,900.00","$305,000","4","4","Standard","Standard Sale","Conventional","0.04","1990","No","","","LIBERTY PLACE","LIBERTY PLACE"
"VAST2028394","RES","CLS","104 Twin Brook Ln","22554","Stafford, VA","Interior Row/Townhouse","1,920","3","3","1","04/08/2024","04/30/24","$410,000.00","$410,000","4","4","Standard","Standard Sale","Conventional","0.04","1989","No","","","TOWNES OF ASHLEIGH","TOWNS OF ASHLEIGH"
