"MLS #","Cat","Status","Address","Zip Code","County","Structure Type","Total Finished SQFT","Beds","Bathrooms Full","Bathrooms Half","On Market Date","Close Date","List Price","Close Price","DOM","CDOM","Sale Type","Close Sale Type","Buyer Financing","Lot Size Acres","Year Built","New Construction YN","Year Major Reno/Remodel","Property Condition","Subdivision/Neighborhood","Legal Subdivision"
"VAFB118666","RES","CLS","1408 Preserve Ln","22401","Fredericksburg City, VA","Detached","4,522","5","3","1","04/13/2021","05/14/21","$517,000.00","$545,000","13","13","Standard","Standard Sale","FHA","0.32","2011","No","","Excellent","FREDERICKSBURG CITY","PRESERVE AT SMITH RUN"
"VAFB118746","RES","CLS","701-304 Cobblestone Blvd #304","22401","Fredericksburg City, VA","Unit/Flat/Apartment","1,441","2","2","","03/28/2021","04/15/21","$275,000.00","$285,000","4","4","Standard","Standard Sale","Cash","","2007","No","","Very Good","COBBLESTONE SQUARE","COBBLESTONE SQUARE"
"VAFB118742","RES","CLS","15 Seneca Ter","22401","Fredericksburg City, VA","Detached","2,509","3","2","2","04/13/2021","05/24/21","$325,000.00","$365,000","5","5","Standard","Standard Sale","Conventional","0.34","1974","No","","Good","ALTOONA",""
"VAFB118734","RES","CLS","420 Woodford St","22401","Fredericksburg City, VA","Detached","1,313","3","1","","05/07/2021","07/09/21","$325,000.00","$290,000","22","22","Standard","Standard Sale","FHA 203(k)","0.17","1943","No","","","NORMANDY VILLAGE",""
"VAFB118708","RES","CLS","1618 Franklin St","22401","Fredericksburg City, VA","Detached","4,859","3","3","1","05/06/2021","06/18/21","$1,100,000.00","$885,000","12","12","Standard","Standard Sale","Conventional","0.37","1946","No","","","BELOW THE COLLEGE",""
"VAFB118610","RES","CLS","662 Lafayette Blvd","22401","Fredericksburg City, VA","Detached","1,140","2","1","","03/23/2021","04/30/21","$259,000.00","$259,000","5","5","Standard","Standard Sale","Conventional","0.03","1893","No","","","DOWNTOWN FREDERICKSBURG",""
"VAFB118730","RES","CLS","1416 Teagan Dr","22408","Fredericksburg City, VA","End of Row/Townhouse","2,528","3","3","1","04/05/2021","05/06/21","$340,000.00","$360,000","5","5","Standard","Standard Sale","VA","0.09","2017","No","","","SUMMERFIELD",""
"VAFB118654","RES","CLS","110 Kinloch Dr","22401","Fredericksburg City, VA","Detached","2,625","4","3","1","04/06/2021","04/19/21","$425,000.00","$450,000","4","4","Standard","Standard Sale","Conventional","0.52","1969","No","","Excellent","BRAEHEAD WOODS",""
"VAFB118724","RES","CLS","211 Howison Ave","22401","Fredericksburg City, VA","Detached","960","3","1","","04/06/2021","05/14/21","$245,000.00","$230,000","6","6","Standard","Standard Sale","VA","0.19","1965","No","2021","","MAYFIELD",""
"VAFB118662","RES","CLS","1314-A Kenmore Ave #9","22401","Fredericksburg City, VA","Interior Row/Townhouse","1,885","3","3","1","05/15/2021","06/24/21","$405,000.00","$405,000","6","6","Standard","Standard Sale","Cash","0.03","1982","No","2020","Excellent","KENMORE TOWNHOME",""
"VAFB118718","RES","CLS","1021 Hotchkiss Pl","22401","Fredericksburg City, VA","Interior Row/Townhouse","2,149","3","2","1","03/25/2021","03/31/21","$325,000.00","$330,000","3","3","Standard","Standard Sale","Cash","0.04","2006","No","","","PRESERVE AT SMITH RUN","PRESERVE AT SMITH RUN"
"VAFB118668","RES","CLS","1007 Roberts Ct","22401","Fredericksburg City, VA","Detached","3,690","4","3","1","03/21/2021","04/22/21","$620,000.00","$620,000","3","3","Standard","Standard Sale","Conventional","0.37","1996","No","","","THE HILLS AT SNOWDEN",""
"VAFB118712","RES","CLS","1608 Wilcox Ave","22401","Fredericksburg City, VA","Interior Row/Townhouse","1,910","3","2","2","04/23/2021","05/24/21","$335,000.00","$345,000","20","20","Standard","Standard Sale","VA","0.04","2007","No","","","VILLAGE OF IDLEWILD","VILLAGE OF IDLEWILD"
"VAFB118710","RES","CLS","107 Kings Mill Dr","22401","Fredericksburg City, VA","Interior Row/Townhouse","1,200","3","1","1","03/21/2021","04/26/21","$210,000.00","$210,000","4","4","Standard","Standard Sale","VA","0.05","1986","No","","Very Good","KINGS MILL","KINGS MILL"
"VAFB118670","RES","CLS","1005 Oakwood Ct","22401","Fredericksburg City, VA","Detached","3,892","5","2","1","03/23/2021","05/28/21","$449,900.00","$475,000","6","6","Standard","Standard Sale","Conventional","0.61","2003","No","","Excellent","GREAT OAKS","GREAT OAKS"
"VAFB118698","RES","CLS","1409 Hearthstone Dr","22401","Fredericksburg City, VA","Detached","2,592","4","2","1","03/26/2021","05/13/21","$425,000.00","$430,000","8","8","Standard","Standard Sale","VA","0.13","2006","No","","Very Good","VILLAGE OF IDLEWILD","VILLAGE OF IDLEWILD"
"VAFB118696","RES","CLS","707 Prince Edward St","22401","Fredericksburg City, VA","Detached","3,151","4","3","","03/30/2021","05/17/21","$625,000.00","$625,000","9","9","Standard","Standard Sale","Conventional","0.08","1913","No","","","HISTORIC DISTRICT",""
"VAFB118680","RES","CLS","2212 Shadmoor Dr","22401","Fredericksburg City, VA","End of Row/Townhouse","1,968","3","3","1","04/23/2021","05/14/21","$405,000.00","$408,000","7","7","Standard","Standard Sale","Conventional","0.07","2019","No","","Excellent","LANDING AT CENTRAL PARK",""
"VAFB118694","RES","CLS","1805-B William St #107","22401","Fredericksburg City, VA","Unit/Flat/Apartment","929","2","1","0","04/02/2021","04/07/21","$169,000.00","$160,000","5","5","Standard","Standard Sale","Cash","","1971","No","","Very Good","WESTWOOD COMMONS","WESTWOOD COMMONS"
