"MLS #","Cat","Status","Address","Zip Code","County","Structure Type","Total Finished SQFT","Beds","Bathrooms Full","Bathrooms Half","On Market Date","Close Date","List Price","Close Price","DOM","CDOM","Sale Type","Close Sale Type","Buyer Financing","Lot Size Acres","Year Built","New Construction YN","Year Major Reno/Remodel","Property Condition","Subdivision/Neighborhood","Legal Subdivision"
"VACV2003448","RES","CLS","17036 Brookwood Dr","22427","Caroline, VA","Detached","1,535","3","2","0","03/10/2023","04/27/23","$344,900.00","$344,900","35","35","Standard","Standard Sale","Conventional","0.17","2022","Yes","","Excellent","BROOKWOOD",""
"VACV2003428","RES","CLS","5337 Cedon Rd","22580","Caroline, VA","Detached","1,056","4","1","","02/03/2023","02/13/23","$95,000.00","$90,000","2","2","Standard","Standard Sale","Cash","1.00","1975","No","","","BLANTONS",""
"VACV2003426","RES","CLS","190 Land Or Dr","22546","Caroline, VA","Detached","2,172","4","3","","02/13/2023","02/27/23","$335,000.00","$335,000","19","56","Standard","Standard Sale","Conventional","0.34","2003","No","","Very Good","LAKE LAND OR","LAKE LAND"
"VACV2003416","RES","CLS","807 Houston Dr","22546","Caroline, VA","Detached","1,200","3","2","","01/31/2023","08/11/23","$280,000.00","$283,369","7","7","Standard","Standard Sale","Conventional","0.00","2023","Yes","","Excellent","LAKE LAND OR","LAKE LAND"
"VACV2003420","RES","CLS","20 Athens Ln","22546","Caroline, VA","Detached","2,158","3","2","0","02/21/2023","03/23/23","$320,000.00","$317,200","8","8","Standard","Standard Sale","Conventional","0.92","1990","No","","","LAKE LAND OR","LAKE LAND"
"VACV2003412","RES","CLS","346 Crump Dr","22546","Caroline, VA","Detached","2,184","3","3","0","02/03/2023","02/16/23","$314,900.00","$245,244","15","15","Standard","Standard Sale","Private","0.00","1993","No","2017","","LAKE LAND","LAKE LAND"
"VACV2003368","RES","CLS","24079 Old C C Rd","22546","Caroline, VA","Detached","2,336","3","2","1","04/16/2023","05/25/23","$405,000.00","$405,000","13","13","Standard","Standard Sale","VA","2.01","2006","No","","Excellent","NONE AVAILABLE",""
"VACV2003418","RES","CLS","12265 Coulter Ln","22546","Caroline, VA","Detached","1,134","3","1","1","02/16/2023","03/15/23","$199,950.00","$207,000","28","28","Standard","Standard Sale","FHA","0.00","1982","No","","","CAROLINE PINES","CAROLINE PINES"
"VACV2003360","RES","CLS","18290 Democracy Ave","22546","Caroline, VA","End of Row/Townhouse","2,068","3","3","1","03/16/2023","03/31/23","$285,000.00","$285,000","7","7","Standard","Standard Sale","FHA","0.07","2009","No","","","PENDLETON","PENDLETON"
"VACV2003408","RES","CLS","7221 Edmund Pendleton Dr","22546","Caroline, VA","Detached","3,408","6","3","2","01/21/2023","03/07/23","$420,000.00","$420,000","4","4","Standard","Standard Sale","Conventional","0.12","2007","No","","","PENDLETON","PENDLETON"
