"MLS #","Cat","Status","Address","Zip Code","County","Structure Type","Total Finished SQFT","Beds","Bathrooms Full","Bathrooms Half","On Market Date","Close Date","List Price","Close Price","DOM","CDOM","Sale Type","Close Sale Type","Buyer Financing","Lot Size Acres","Year Built","New Construction YN","Year Major Reno/Remodel","Property Condition","Subdivision/Neighborhood","Legal Subdivision"
"VAST220898","RES","CLS","31 Crawford Ln","22556","Stafford, VA","Detached","4,269","4","3","1","07/06/2020","07/17/20","$559,900.00","$559,900","47","47","Standard","Standard Sale","VA","0.58","2005","No","","Excellent","GABLES","CLAIBORNE MANOR"
"VAST221044","RES","CLS","439 Foxglove Way #106","22554","Stafford, VA","End of Row/Townhouse","2,200","3","3","1","06/05/2020","06/05/20","$409,000.00","$409,000","20","20","Standard","Standard Sale","Conventional","","2019","No","2019","Very Good","EMBREY MILL",""
"VAST220842","RES","CLS","391 Windermere Dr","22554","Stafford, VA","Detached","4,070","6","3","1","05/19/2020","06/05/20","$650,000.00","$650,000","2","2","Standard","Standard Sale","VA","10.14","1994","No","2018","Very Good","WINDERMERE","WINDERMERE"
"VAST221026","RES","CLS","15 Sentry Ct","22554","Stafford, VA","Detached","5,000","4","4","1","05/13/2020","06/30/20","$567,500.00","$567,500","27","27","Standard","Standard Sale","VA","3.19","2010","No","","Very Good","BROOKE RIDGE","BROOKE RIDGE"
"VAST221036","RES","CLS","2008 Buoy Dr","22554","Stafford, VA","Detached","2,568","4","2","1","08/11/2020","08/14/20","$415,000.00","$415,000","54","54","Standard","Standard Sale","VHDA","0.30","1989","No","2020","Very Good","AQUIA HARBOUR","AQUIA HARBOUR"
"VAST220846","RES","CLS","189 McCarty Rd","22405","Stafford, VA","Detached","2,755","4","2","1","06/15/2020","07/02/20","$344,900.00","$344,900","34","34","Standard","Standard Sale","Conventional","2.01","1974","No","","","NONE AVAILABLE",""
"VAST220916","RES","CLS","3003 Constitution Dr","22554","Stafford, VA","Detached","2,810","5","3","1","05/08/2020","05/22/20","$405,000.00","$405,000","3","3","Standard","Standard Sale","VA","0.34","1984","No","","Very Good","AQUIA HARBOUR","AQUIA HARBOUR"
"VAST221034","RES","CLS","203 Providence St","22554","Stafford, VA","Interior Row/Townhouse","1,643","3","3","1","04/30/2020","06/12/20","$220,000.00","$220,000","10","10","Standard","Standard Sale","Conventional","","1990","No","","Major Rehab Needed","SPRINGHILL TOWNHOME","SPRINGHILL TOWNHOME"
"VAST220676","RES","CLS","500 Rugby Rd","22406","Stafford, VA","End of Row/Townhouse","1,440","4","3","1","06/11/2020","06/12/20","$239,900.00","$240,000","15","15","Standard","Standard Sale","Conventional","0.00","1989","No","","Very Good","SPRING KNOLL","SPRING KNOLL"
"VAST220998","RES","CLS","3 Neil Ct","22554","Stafford, VA","Detached","1,656","4","2","1","06/05/2020","06/26/20","$299,900.00","$300,000","7","7","Standard","Standard Sale","Conventional","0.23","1973","No","","","OAKRIDGE / COUNTRY RIDGE","OAKRIDGE / COUNTRY RIDGE"
"VAST221016","RES","CLS","147 Derrick Ln","22554","Stafford, VA","Detached","2,956","4","3","1","07/23/2020","07/22/20","$465,000.00","$465,000","10","10","Standard","Standard Sale","VA","3.62","2001","No","","Very Good","NONE AVAILABLE",""
"VAST220976","RES","CLS","15 Smelters Trace Rd","22554","Stafford, VA","Detached","5,489","4","4","1","09/16/2020","09/21/20","$575,000.00","$575,000","61","61","Standard","Standard Sale","VA","0.15","2013","No","","Very Good","COLONIAL FORGE",""
"VAST220940","RES","CLS","22 Meade Ct","22554","Stafford, VA","Detached","2,544","4","3","1","05/30/2020","05/29/20","$370,000.00","$373,000","5","5","Standard","Standard Sale","VA","0.31","1996","No","","","STONE RIVER","STONE RIVER"
"VAST220986","RES","CLS","59 Briarwood Dr","22405","Stafford, VA","Detached","2,185","4","2","1","04/19/2020","05/22/20","$319,900.00","$310,000","2","2","Standard","Standard Sale","Conventional","0.28","1992","No","","","ARGYLE HILLS","ARGYLE HILLS"
"VAST221018","RES","CLS","2149 Harpoon Dr","22554","Stafford, VA","Detached","2,240","4","2","1","06/15/2020","06/17/20","$345,000.00","$348,000","21","21","Standard","Standard Sale","VA","0.29","1978","No","","","AQUIA HARBOUR","AQUIA HARBOUR"
"VAST220978","RES","CLS","2 Eastbrook Ct","22554","Stafford, VA","Detached","3,565","4","3","1","06/01/2020","06/05/20","$420,000.00","$420,000","15","15","Standard","Standard Sale","VA","0.24","1992","No","","Very Good, Good","HAMPTON OAKS","HAMPTON OAKS"
"VAST221014","RES","CLS","45 Melvin Dr","22406","Stafford, VA","Detached","4,388","5","5","","06/24/2020","06/30/20","$565,000.00","$570,000","29","29","Standard","Standard Sale","VA","3.02","2010","No","","Very Good, Good","ESTATES OF TRUSLOW","ESTATES OF TRUSLOW"
"VAST221012","RES","CLS","32 Clover Hill Dr","22556","Stafford, VA","Detached","2,572","5","3","","05/15/2020","06/26/20","$395,000.00","$395,000","16","16","Standard","Standard Sale","VHDA","1.00","1979","No","","Very Good","ROSE HILL FARMS","ROSE HILL FARMS"
"VAST221010","RES","CLS","15 Glacier Way","22554","Stafford, VA","Detached","3,056","4","3","1","04/27/2020","06/01/20","$380,000.00","$382,000","5","5","Standard","Standard Sale","Conventional","0.19","2004","No","","","WIDEWATER","WIDEWATER VILLAGE"
"VAST221008","RES","CLS","35 Beau Ridge Dr","22556","Stafford, VA","Detached","3,585","4","3","1","06/23/2020","06/25/20","$435,000.00","$430,000","9","9","Standard","Standard Sale","Conventional","0.29","2001","No","","Very Good","BEAU RIDGE","BEAU RIDGE"
"VAST220928","RES","CLS","147 Waterview Dr","22554","Stafford, VA","Detached","5,822","5","4","1","05/23/2020","07/31/20","$999,000.00","$1,025,000","5","5","Standard","Standard Sale","VA","3.18","2004","No","","Very Good","AQUIA INLET ESTATES",""
"VAST220828","RES","CLS","59 Hamlin Dr","22405","Stafford, VA","Detached","2,144","4","2","1","06/11/2020","06/29/20","$375,000.00","$375,000","34","34","Standard","Standard Sale","VA","1.16","1995","No","","Very Good","RIDGE POINTE","RIDGE POINTE"
"VAST221000","RES","CLS","25 Worsham Ln","22405","Stafford, VA","Detached","3,838","5","3","1","05/15/2020","05/29/20","$409,990.00","$409,990","3","3","Standard","Standard Sale","FHA","0.18","2020","Yes","","","WELLSPRING HILLS",""
"VAST220852","RES","CLS","2445 Harpoon Dr","22554","Stafford, VA","Detached","3,388","4","2","2","05/29/2020","06/05/20","$399,900.00","$400,000","6","6","Standard","Standard Sale","FHA","0.36","1992","No","","Very Good, Good","AQUIA HARBOUR","AQUIA HARBOUR"
"VAST220996","RES","CLS","8 Pinehurst Ln","22554","Stafford, VA","Detached","4,052","4","3","1","06/12/2020","06/19/20","$449,900.00","$460,000","30","30","Standard","Standard Sale","Conventional","0.18","2006","No","","","SOMERSET LANDING","SOMERSET LANDING"
"VAST220968","RES","CLS","5 Hobart Ln","22405","Stafford, VA","Detached","2,790","4","3","1","07/11/2020","07/14/20","$400,000.00","$412,000","33","33","Standard","Standard Sale","Conventional","0.35","2012","No","","Very Good, Good","LEELAND STATION","LEELAND STATION"
"VAST220966","RES","CLS","48 Townes Pl","22405","Stafford, VA","End of Row/Townhouse","1,932","3","2","2","05/30/2020","06/22/20","$264,900.00","$265,500","21","21","Standard","Standard Sale","Conventional","0.07","2000","No","","","HEATHER HILLS","HEATHER HILLS/BRIGHTFLD"
"VAST220962","RES","CLS","1107 Highpointe Blvd","22554","Stafford, VA","Interior Row/Townhouse","1,960","4","3","1","06/16/2020","07/14/20","$289,000.00","$257,000","17","17","Standard","Standard Sale","VA","0.04","2002","No","","Very Good","LIBERTY PLACE","LIBERTY PLACE"
"VAST220964","RES","CLS","87 Brent Point Rd","22554","Stafford, VA","Detached","1,236","3","2","0","04/21/2020","06/15/20","$285,000.00","$285,000","3","3","Standard","Standard Sale","VA","1.24","2010","No","","","NONE AVAILABLE",""
"VAST220804","RES","CLS","83 Chaps Ln","22405","Stafford, VA","Detached","3,240","5","3","1","06/09/2020","06/12/20","$373,000.00","$360,000","23","23","Standard","Standard Sale","VA","0.14","2009","No","","","CARRIAGE HILL AT FALLS","CARRIAGE HILL AT FALLS"
"VAST220836","RES","CLS","706 Perry Dr","22405","Stafford, VA","Detached","1,868","4","3","","06/05/2020","06/11/20","$289,900.00","$280,000","15","15","Standard","Standard Sale","VA","0.39","1993","No","","","GRAFTON VILLAGE","GRAFTON VILLAGE"
