"MLS #","Cat","Status","Address","Zip Code","County","Structure Type","Total Finished SQFT","Beds","Bathrooms Full","Bathrooms Half","On Market Date","Close Date","List Price","Close Price","DOM","CDOM","Sale Type","Close Sale Type","Buyer Financing","Lot Size Acres","Year Built","New Construction YN","Year Major Reno/Remodel","Property Condition","Subdivision/Neighborhood","Legal Subdivision"
"VASP2016246","RES","CLS","6817 Courthouse Commons Blvd","22553","Spotsylvania, VA","Detached","3,100","0","0","1","","12/27/22","$475,990.00","$586,560","0","0","Standard","Standard Sale","Conventional","0.00","2022","Yes","","Excellent","COURTHOUSE COMMONS",""
"VASP2014838","RES","CLS","8706 Afton Dr","22551","Spotsylvania, VA","Detached","0","5","3","1","","12/23/22","$685,667.00","$685,667","0","0","Standard","Standard Sale","VA","0.24","2022","Yes","","Excellent","KESWICK",""
"VASP2015322","RES","CLS","13806 Anna Woods Ct","22551","Spotsylvania, VA","Detached","3,946","4","2","1","","01/31/22","$1,025,000.00","$1,025,000","0","0","Standard","Standard Sale","Conventional","19.39","2022","Yes","","Excellent","NONE AVAILABLE","ANNA WOODS"
"VASP2015002","RES","CLS","8726 Greenway Dr","22551","Spotsylvania, VA","Detached","0","4","3","","","12/02/22","$616,825.00","$616,825","0","0","Standard","Standard Sale","VA","0.35","0","Yes","","Excellent","WOODBERRY MANOR",""
"VASP2014830","RES","CLS","8518 Laroque Run Dr","22407","Spotsylvania, VA","Detached","0","4","3","1","","07/01/22","$541,990.00","$658,556","0","0","Standard","Standard Sale","Conventional","4.09","2022","Yes","","Excellent","ESTATES OF CHANCELLORSVILLE",""
"VASP2014802","RES","CLS","6707 Elsing Green Ct","22551","Spotsylvania, VA","Detached","0","0","0","","","06/08/22","$678,880.00","$687,175","0","0","Standard","Standard Sale","Conventional","0.35","2022","Yes","","Excellent","WOODBERRY MANOR",""
"VASP2014798","RES","CLS","10402 Allendale Ct","22551","Spotsylvania, VA","Other","0","0","0","","","03/18/22","$839,515.00","$839,515","0","0","Standard","Standard Sale","Conventional","0.48","2022","Yes","","Excellent","FAWN LAKE","FAWN LAKE"
"VASP2014794","RES","CLS","10208 Governors Ln","22408","Spotsylvania, VA","Detached","4,177","4","4","","","03/11/22","$530,347.00","$565,240","0","0","Standard","Standard Sale","Conventional","0.18","2021","Yes","","Excellent","NONE AVAILABLE",""
"VASP2014788","RES","CLS","10704 Cold Springs Ct","22551","Spotsylvania, VA","Other","4,949","0","0","","","01/18/22","$792,775.00","$792,775","0","0","Standard","Standard Sale","Conventional","0.60","2021","Yes","","Excellent","FAWN LAKE","FAWN LAKE"
"VASP2014776","RES","CLS","12600 Warren Ln","22551","Spotsylvania, VA","Detached","1,412","3","2","1","","06/21/22","$255,750.00","$255,750","0","0","Standard","Standard Sale","Cash","0.49","1997","No","2022","","LAKE WILDERNESS","LAKE WILDERNESS"
"VASP2014772","RES","CLS","11802 Oakdale Ct","22508","Spotsylvania, VA","Detached","1,096","3","2","","","03/07/22","$250,000.00","$220,000","0","0","Standard","Standard Sale","Cash","0.00","1993","No","","","WINEWOOD","WINEWOOD"
"VASP2014762","RES","CLS","5301 Ivy Hill Dr","22407","Spotsylvania, VA","Detached","6,300","4","3","1","","12/02/22","$725,245.00","$712,510","0","0","Standard","Standard Sale","Conventional","0.50","2022","Yes","","Excellent","LEES PARKE",""
"VASP2014734","RES","CLS","10054 Premier St","22408","Spotsylvania, VA","Detached","0","5","3","1","","11/29/22","$952,232.00","$952,232","0","0","Standard","Standard Sale","VA","0.57","2022","Yes","","Excellent","NONE AVAILABLE","NEW POST ESTATES"
"VASP2014732","RES","CLS","6803 Tavern Dr","22551","Spotsylvania, VA","Detached","0","5","3","1","","11/10/22","$689,929.15","$689,929","0","0","Standard","Standard Sale","Conventional","0.35","2022","Yes","","Excellent","WOODBERRY MANOR",""
"VASP2014722","RES","CLS","11103 N Abbie Moore Ct","22407","Spotsylvania, VA","Detached","4,452","4","5","","","12/23/22","$876,200.00","$968,941","0","0","Standard","Standard Sale","VA","2.00","2022","Yes","","Excellent","THORBURN ESTATES",""
"VASP2014720","RES","CLS","11001 S Abbie Moore Ct","22407","Spotsylvania, VA","Detached","4,774","4","3","2","","12/22/22","$901,290.00","$977,338","0","0","Standard","Standard Sale","Conventional","2.00","2022","Yes","","Excellent","THORBURN ESTATES",""
"VASP2014700","RES","CLS","8708 Afton Dr","22551","Spotsylvania, VA","Detached","0","4","3","1","","12/22/22","$593,463.00","$593,463","0","0","Standard","Standard Sale","Conventional","0.21","2022","Yes","","Excellent","KESWICK",""
"VASP2014688","RES","CLS","11301 Oakville Ln","22551","Spotsylvania, VA","Detached","3,656","4","4","1","","12/20/22","$669,990.00","$802,470","0","0","Standard","Standard Sale","Conventional","0.00","2022","Yes","","Excellent","FAWN LAKE",""
"VASP2014668","RES","CLS","5404 Redgum Ln","22407","Spotsylvania, VA","Detached","0","3","3","1","","12/19/22","$638,283.00","$630,000","0","0","Standard","Standard Sale","VA","0.11","2022","Yes","","Excellent","HARRISON VILLAGE",""
"VASP2010278","RES","CLS","10914 Green Leaf Run","22551","Spotsylvania, VA","Detached","0","4","3","1","","05/23/22","$713,195.00","$713,195","0","0","Standard","Standard Sale","VA","0.41","2022","Yes","","Excellent","FAWN LAKE",""
"VASP2014602","RES","CLS","6792 Courthouse Commons Blvd","22553","Spotsylvania, VA","Detached","2,176","3","2","1","","12/07/22","$489,565.00","$489,565","0","0","Standard","Standard Sale","Conventional","0.00","2022","Yes","","Excellent","COURTHOUSE COMMONS",""
"VASP2014594","RES","CLS","7511 Daughtry Dr","22407","Spotsylvania, VA","Detached","2,114","4","2","","12/17/2022","12/30/22","$400,000.00","$400,000","5","5","Standard","Standard Sale","VA","0.32","1992","No","","","WALNUT HILLS","WALNUT HILLS"
"VASP2013872","RES","CLS","11182 Brunswick Pl","22407","Spotsylvania, VA","Interior Row/Townhouse","1,344","3","2","1","","12/12/22","$277,500.00","$277,500","1","1","Standard","Standard Sale","Conventional","0.04","1987","No","","","VILLAGES OF SALEM STATION","VILLAGES OF SALEM STATION"
"VASP2014564","RES","CLS","8029 Ashford Dr","22407","Spotsylvania, VA","Detached","4,758","5","5","","","11/21/22","$992,805.00","$992,805","0","0","Standard","Standard Sale","Conventional","2.33","2022","Yes","","Excellent","NONE AVAILABLE",""
"VASP2014556","RES","CLS","7801 Shawmont Rd","22407","Spotsylvania, VA","Detached","5,003","4","4","0","","12/09/22","$857,890.00","$974,857","0","0","Standard","Standard Sale","Conventional","2.49","2022","Yes","","Excellent","THORBURN ESTATES",""
"VASP2014554","RES","CLS","7805 Shawmont Rd","22407","Spotsylvania, VA","Detached","5,002","4","5","0","","11/28/22","$971,500.00","$1,012,759","0","0","Standard","Standard Sale","VA","2.41","2022","Yes","","Excellent","THORBURN ESTATES",""
"VASP2014510","RES","CLS","9521 Brock Rd","22553","Spotsylvania, VA","Detached","1,212","3","1","","12/12/2022","12/20/22","$240,000.00","$243,200","5","5","Standard","Standard Sale","Cash","10.27","1986","No","","","NONE AVAILABLE","KNIGHT PROPERTY RT 613"
"VASP2014494","RES","CLS","8300 E Harrison Ct","22407","Spotsylvania, VA","Detached","3,709","4","3","1","12/19/2022","12/30/22","$575,000.00","$575,000","2","2","Standard","Standard Sale","VA","4.09","2000","No","","Very Good","ESTATES OF CHANCELLORSVILLE","ESTATES OF CHANCELLORSVILLE"
"VASP2014418","RES","CLS","10206 Governors Ln","22408","Spotsylvania, VA","Detached","3,255","4","2","1","","01/31/22","$632,592.00","$632,592","0","0","Standard","Standard Sale","Conventional","0.18","2021","Yes","","Excellent","NEW POST ON THE RAPPAHANNOCK",""
"VASP2014272","RES","CLS","5505 Redgum Ln","22407","Spotsylvania, VA","Detached","3,947","4","3","1","","11/23/22","$664,105.00","$715,252","0","0","Standard","Standard Sale","VA","0.12","2022","Yes","","Excellent","HARRISON VILLAGE",""
"VASP2014410","RES","CLS","10303 Watford Ln","22408","Spotsylvania, VA","Detached","2,908","5","3","1","","11/29/22","$420,000.00","$420,000","0","0","Standard","Standard Sale","VA","0.37","2000","No","","","WATFORD VILLAGE","WATFORD VILLAGE"
"VASP2014392","RES","CLS","7409 Brentford Ter","22407","Spotsylvania, VA","Other","0","1","1","","","11/29/22","$406,380.00","$406,380","0","0","Standard","Standard Sale","Cash","0.12","0","Yes","","Excellent","REGENCY AT CHANCELLORSVILLE",""
"VASP2013912","RES","CLS","11108 N Abbie Moore Ct","22407","Spotsylvania, VA","Detached","0","0","0","","11/03/2022","11/30/22","$1,121,524.31","$1,121,524","0","0","Standard","Standard Sale","VA","2.11","2022","Yes","","Excellent","THORBURN ESTATES",""
