"MLS #","Cat","Status","Address","Zip Code","County","Structure Type","Total Finished SQFT","Beds","Bathrooms Full","Bathrooms Half","On Market Date","Close Date","List Price","Close Price","DOM","CDOM","Sale Type","Close Sale Type","Buyer Financing","Lot Size Acres","Year Built","New Construction YN","Year Major Reno/Remodel","Property Condition","Subdivision/Neighborhood","Legal Subdivision"
"VASP2008904","RES","CLS","Southview","22551","Spotsylvania, VA","Detached","0","4","3","1","","12/23/21","$604,210.00","$604,210","0","0","Standard","Standard Sale","Conventional","0.00","","Yes","","Excellent","FAWN LAKE",""
"VASP2007638","RES","CLS","11401 Owls Nest Ct","22551","Spotsylvania, VA","Detached","0","5","4","","","09/21/21","$580,360.00","$580,360","0","0","Standard","Standard Sale","Conventional","0.50","2021","Yes","","Excellent","FAWN LAKE","FAWN LAKE"
"VASP2007636","RES","CLS","9301 Heritage Village Ct","22551","Spotsylvania, VA","Detached","0","4","3","","","11/23/21","$471,518.00","$471,518","0","0","Standard","Standard Sale","FHA","3.12","2021","Yes","","Excellent","HERITAGE VILLAGE","HERITAGE VILLAGE"
"VASP2007632","RES","CLS","9300 Heritage Village Ct","22551","Spotsylvania, VA","Detached","0","4","3","1","","09/15/21","$421,050.00","$421,050","0","0","Standard","Standard Sale","VHDA","2.04","2021","Yes","","Excellent","HERITAGE VILLAGE","HERITAGE VILLAGE"
"VASP2006798","RES","CLS","7714 Colburn","22551","Spotsylvania, VA","Detached","3,100","5","3","1","","12/28/21","$540,836.00","$540,836","0","0","Standard","Standard Sale","FHA","0.25","2021","Yes","","Excellent","SPOTSYLVANIA COUNTY",""
"VASP2006688","RES","CLS","9806 Bartley Ct","22408","Spotsylvania, VA","Interior Row/Townhouse","1,868","4","2","2","","03/11/21","$255,000.00","$255,000","0","0","Standard","Standard Sale","Conventional","0.05","2000","No","","","GERMANNA POINT","GERMANNA POINT"
"VASP2006506","RES","CLS","8635 Fleetwood Dr","22551","Spotsylvania, VA","Detached","3,845","5","3","1","","12/31/21","$576,713.00","$576,713","0","0","Standard","Standard Sale","Conventional","0.23","2021","Yes","","","KESWICK",""
"VASP2006080","RES","CLS","5100 Mulberry Dr","22407","Spotsylvania, VA","Detached","3,765","4","2","1","","05/04/21","$472,580.00","$472,580","0","0","Standard","Standard Sale","Conventional","0.73","2021","Yes","","Excellent","AVALON WOODS","AVALON WOODS"
"VASP2005622","RES","CLS","5504 S Branch Rd","22407","Spotsylvania, VA","Detached","2,183","5","3","","","01/21/21","$311,900.00","$311,900","0","0","Standard","Standard Sale","FHA","0.28","2000","No","","","SOUTH OAKS","SOUTH OAKS"
"VASP2005540","RES","CLS","1724 Caden Ln","23015","Spotsylvania, VA","Detached","1,800","4","3","","","01/22/21","$274,900.00","$274,900","0","0","Standard","Standard Sale","VA","3.00","2021","Yes","","Excellent","NONE AVAILABLE","FOUNDATION PROPERTIES LL"
"VASP2005516","RES","CLS","7811 Bexley Ln","22551","Spotsylvania, VA","Detached","4,000","5","3","1","","09/28/21","$556,067.00","$556,067","0","0","Standard","Standard Sale","Conventional","0.28","2021","Yes","","Excellent","KESWICK",""
