"MLS #","Cat","Status","Address","Zip Code","County","Structure Type","Total Finished SQFT","Beds","Bathrooms Full","Bathrooms Half","On Market Date","Close Date","List Price","Close Price","DOM","CDOM","Sale Type","Close Sale Type","Buyer Financing","Lot Size Acres","Year Built","New Construction YN","Year Major Reno/Remodel","Property Condition","Subdivision/Neighborhood","Legal Subdivision"
"VASP219458","RES","CLS","7003 Wild Turkey Dr","22553","Spotsylvania, VA","Detached","2,300","3","2","0","03/18/2020","03/23/20","$264,900.00","$260,000","7","7","Standard","Standard Sale","Other","0.25","1973","No","","Very Good","STONEYBROOKE","STONEYBROOKE"
"VASP219388","RES","CLS","8439 Engleman Ln","22551","Spotsylvania, VA","Detached","2,432","4","3","","05/20/2020","05/29/20","$269,999.00","$265,000","65","65","Standard","Standard Sale","FHA","2.00","2006","No","","","LIVINGSTON VILLAGE","LIVINGSTON VILLAGE"
"VASP219440","RES","CLS","13404 Perimeter Dr","22407","Spotsylvania, VA","Detached","3,668","4","3","1","04/27/2020","05/29/20","$468,000.00","$469,000","73","73","Standard","Standard Sale","VA","2.36","2003","No","","Very Good","ESTATES OF CHANCELLORSVILLE","ESTATES OF CHANCELLORSVI"
"VASP219448","RES","CLS","11403 Bluffs Rdg","22551","Spotsylvania, VA","Detached","4,195","5","4","2","","01/13/20","$740,000.00","$740,000","0","0","Standard","Standard Sale","VA","0.57","2015","No","","","FAWN LAKE","FAWN LAKE"
"VASP219402","RES","CLS","5603 E Kesslers Xing","22407","Spotsylvania, VA","Detached","3,255","4","3","","03/07/2020","05/01/20","$445,000.00","$437,500","24","196","Standard","Standard Sale","Cash","0.29","2006","No","2018","Very Good","VIRGINIA HERITAGE","VIRGINIA HERITAGE AT LEE"
"VASP219436","RES","CLS","9811 Ramsay Dr","22408","Spotsylvania, VA","Detached","2,872","5","3","1","03/07/2020","03/27/20","$367,000.00","$367,000","11","11","Standard","Standard Sale","Conventional","0.39","1994","No","","Very Good","LEE'S HILL SOUTH","OAKMONT VILLAGE AT LEES"
"VASP219416","RES","CLS","10101 Four Iron Ct","22408","Spotsylvania, VA","End of Row/Townhouse","3,972","4","4","1","03/07/2020","03/05/20","$355,000.00","$355,000","4","4","Standard","Standard Sale","VA","0.15","1998","No","","Very Good","THE GREENS AT LEE'S HILL","THE GREENS AT LEES HILL"
"VASP219438","RES","CLS","6707 Godwin Dr","22553","Spotsylvania, VA","Detached","1,108","3","2","","03/07/2020","03/30/20","$220,000.00","$220,000","3","3","Standard","Standard Sale","USDA","0.28","1990","No","","Very Good","FAIRFIELD WOODS","FAIRFIELD WOODS"
"VASP219424","RES","CLS","8114 Belmont Rd","22551","Spotsylvania, VA","Detached","1,920","3","2","1","06/11/2020","06/26/20","$359,900.00","$359,900","95","153","Standard","Standard Sale","VA","1.17","1993","No","","Very Good","NONE AVAILABLE","ALTMAN PROPERTY"
"VASP219412","RES","CLS","11903 Daisy Ln","22407","Spotsylvania, VA","Detached","2,366","5","2","1","04/12/2020","04/15/20","$315,000.00","$305,000","14","14","Standard","Standard Sale","Conventional","0.26","2002","No","","","ROSEWOOD","RED ROSE VILLAGE"
"VASP219296","RES","CLS","5309 Rachels Ct","22407","Spotsylvania, VA","Detached","2,142","3","2","1","04/12/2020","04/20/20","$290,000.00","$294,000","12","12","Standard","Standard Sale","VHDA","0.38","1999","No","","","SOUTH OAKS","SOUTH OAKS"
"VASP219414","RES","CLS","10904 Deerfield Dr","22407","Spotsylvania, VA","Detached","1,264","4","2","","03/07/2020","04/20/20","$239,900.00","$239,900","13","13","Standard","Standard Sale","USDA","0.38","1975","No","2019","","DEERFIELD","DEERFIELD"
"VASP219408","RES","CLS","6 Sequoia St","22408","Spotsylvania, VA","Detached","1,204","3","3","","06/02/2020","06/04/20","$265,000.00","$265,000","13","13","Standard","Standard Sale","VHDA","0.43","1976","No","","","PARKWOOD","PARKWOOD"
"VASP219378","RES","CLS","11409 Lords Ln","22408","Spotsylvania, VA","Detached","3,026","5","3","","03/07/2020","03/23/20","$439,000.00","$439,000","11","11","Standard","Standard Sale","Conventional","0.58","2018","No","","Very Good","ESTATES AT KINGSWOOD","THE ESTATES AT KINGSWOOD"
"VASP219370","RES","CLS","9788 Big Bethel Cir","22407","Spotsylvania, VA","Detached","2,363","2","2","1","04/16/2020","04/20/20","$378,000.00","$370,000","14","14","Standard","Standard Sale","Conventional","0.24","2010","No","","","VIRGINIA HERITAGE","VIRGINIA HERITAGE AT LEE"
"VASP219400","RES","CLS","4906 Queensbury Cir","22408","Spotsylvania, VA","Detached","2,940","3","2","1","05/15/2020","06/30/20","$350,000.00","$352,500","81","81","Standard","Standard Sale","VA","0.28","1990","No","","","KINGSWOOD","KINGSWOOD"
"VASP219398","RES","CLS","2332 Red Earth Ln","23015","Spotsylvania, VA","Manufactured","1,512","3","2","","04/04/2020","04/08/20","$219,900.00","$220,000","18","18","Standard","Standard Sale","FHA","8.07","1990","No","","Very Good","NONE AVAILABLE","-"
"VASP219392","RES","CLS","6533 Broad Creek Overlook","22407","Spotsylvania, VA","Detached","3,316","4","3","1","02/26/2020","04/02/20","$425,000.00","$421,000","3","3","Standard","Standard Sale","VA","0.58","2009","No","","","BROAD CREEK ESTATES","BROAD CREEK ESTATES"
"VASP219390","RES","CLS","10406 Hillside Ln","22408","Spotsylvania, VA","Detached","1,352","3","2","","03/07/2020","03/31/20","$246,000.00","$246,000","12","12","Standard","Standard Sale","VA","0.00","1978","No","","","THE MEADOWS","THE MEADOWS"
"VASP219290","RES","CLS","9710 W Midland Way","22408","Spotsylvania, VA","Interior Row/Townhouse","1,116","3","1","1","03/07/2020","03/20/20","$195,000.00","$195,000","3","3","Standard","Standard Sale","VA","0.03","2003","No","","Very Good","COVENTRY CREEK","COVENTRY CREEK"
